frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.24, 0.00, 0.11, 0.36, 1.39, 1.07, 0.00, 0.99, 0.28, 0.95, 0.00, 0.17, 0.00, 0.00, 0.01, 0.28, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.033,  0.98,  1, 0.22, 0.00, 0.20, 0.20, 1.41, 1.13, 0.00, 1.06, 0.30, 1.00, 0.00, 0.17, 0.00, 0.08, 0.17, 0.18, 0.06, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.19, 0.03, 0.23, 0.08, 1.41, 1.06, 0.00, 1.08, 0.27, 1.02, 0.00, 0.13, 0.01, 0.09, 0.19, 0.16, 0.13, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.100,  0.98,  1, 0.22, 0.03, 0.17, 0.00, 1.39, 1.00, 0.00, 1.18, 0.24, 1.06, 0.00, 0.10, 0.03, 0.08, 0.10, 0.19, 0.06, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.133,  0.98,  1, 0.14, 0.03, 0.14, 0.07, 1.35, 1.12, 0.00, 1.10, 0.27, 1.07, 0.00, 0.08, 0.03, 0.03, 0.16, 0.24, 0.18, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.167,  0.98,  1, 0.10, 0.00, 0.07, 0.08, 1.34, 1.16, 0.00, 1.11, 0.34, 1.10, 0.05, 0.07, 0.02, 0.07, 0.25, 0.27, 0.18, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.200,  0.98,  1, 0.05, 0.00, 0.09, 0.13, 1.32, 1.25, 0.00, 0.98, 0.40, 1.08, 0.08, 0.01, 0.00, 0.09, 0.31, 0.28, 0.26, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.233,  0.98,  1, 0.01, 0.00, 0.03, 0.15, 1.36, 1.18, 0.01, 1.07, 0.38, 1.08, 0.09, 0.00, 0.00, 0.12, 0.32, 0.32, 0.14, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.267,  0.98,  1, 0.01, 0.00, 0.03, 0.15, 1.37, 1.34, 0.05, 1.17, 0.32, 1.10, 0.04, 0.00, 0.00, 0.08, 0.29, 0.26, 0.19, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.300,  0.98,  1, 0.00, 0.00, 0.01, 0.09, 1.41, 1.42, 0.08, 1.36, 0.31, 1.19, 0.01, 0.00, 0.00, 0.03, 0.30, 0.17, 0.21, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.333,  0.98,  1, 0.00, 0.00, 0.12, 0.00, 1.47, 1.66, 0.12, 1.52, 0.28, 1.29, 0.02, 0.00, 0.00, 0.00, 0.28, 0.14, 0.24, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.367,  0.98,  1, 0.00, 0.00, 0.37, 0.00, 1.63, 2.01, 0.21, 1.59, 0.36, 1.36, 0.05, 0.04, 0.00, 0.00, 0.34, 0.11, 0.13, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.400,  0.98,  1, 0.00, 0.00, 0.69, 0.00, 1.80, 2.28, 0.34, 1.67, 0.37, 1.41, 0.11, 0.04, 0.00, 0.00, 0.40, 0.07, 0.03, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
